[2025-11-24 09:22:33] [INFO] Received stop signal; exiting loop
[2025-11-24 17:35:36] [DRY] Would copy /home/pi/Desktop/offline-setup-12Sep/data/csv/readings_all.csv -> /home/pi/Desktop/test-usb/OfflineDashboard/data/csv/readings_all.csv
[2025-11-24 17:35:36] [DRY] Copy pass would copy 1 file(s) to /home/pi/Desktop/test-usb
[2025-11-24 17:35:36] [INFO] Dry-run: 1 file(s) would be copied to /home/pi/Desktop/test-usb
[2025-11-24 17:35:51] [OK] Copied readings_all.csv -> /home/pi/Desktop/test-usb/OfflineDashboard/data/csv/readings_all.csv
[2025-11-24 18:17:27] [INFO] No USB mount detected
[2025-11-24 18:17:32] [INFO] No USB mount detected
[2025-11-24 18:17:37] [INFO] No USB mount detected
[2025-11-24 18:17:42] [INFO] No USB mount detected
[2025-11-24 18:17:47] [INFO] No USB mount detected
[2025-11-24 18:17:52] [INFO] No USB mount detected
[2025-11-24 18:17:57] [INFO] No USB mount detected
[2025-11-24 18:18:02] [INFO] No USB mount detected
[2025-11-24 18:18:07] [INFO] No USB mount detected
[2025-11-24 18:18:12] [INFO] No USB mount detected
[2025-11-24 18:18:17] [INFO] No USB mount detected
[2025-11-24 18:18:22] [INFO] No USB mount detected
[2025-11-24 18:18:27] [INFO] No USB mount detected
[2025-11-24 18:18:32] [INFO] No USB mount detected
[2025-11-24 18:18:37] [INFO] No USB mount detected
[2025-11-24 18:18:42] [INFO] No USB mount detected
[2025-11-24 18:18:47] [INFO] No USB mount detected
[2025-11-24 18:18:52] [INFO] No USB mount detected
[2025-11-24 18:18:57] [INFO] No USB mount detected
[2025-11-24 18:19:02] [INFO] No USB mount detected
[2025-11-24 18:19:07] [INFO] No USB mount detected
[2025-11-24 18:19:12] [INFO] No USB mount detected
[2025-11-24 18:19:17] [INFO] No USB mount detected
[2025-11-24 18:19:22] [INFO] No USB mount detected
[2025-11-24 18:19:27] [INFO] No USB mount detected
[2025-11-24 18:19:32] [INFO] No USB mount detected
[2025-11-24 18:19:37] [INFO] No USB mount detected
[2025-11-24 18:19:42] [INFO] No USB mount detected
[2025-11-24 18:19:47] [INFO] No USB mount detected
[2025-11-24 18:19:52] [INFO] No USB mount detected
[2025-11-24 18:19:57] [INFO] No USB mount detected
[2025-11-24 18:20:02] [INFO] No USB mount detected
[2025-11-24 18:20:07] [INFO] No USB mount detected
[2025-11-24 18:20:12] [INFO] No USB mount detected
[2025-11-24 18:20:17] [INFO] No USB mount detected
[2025-11-24 18:20:22] [INFO] No USB mount detected
[2025-11-24 18:20:27] [INFO] No USB mount detected
[2025-11-24 18:20:32] [INFO] No USB mount detected
[2025-11-24 18:20:37] [INFO] No USB mount detected
[2025-11-24 18:20:42] [INFO] No USB mount detected
[2025-11-24 18:20:47] [INFO] No USB mount detected
[2025-11-24 18:20:52] [INFO] No USB mount detected
[2025-11-24 18:20:57] [INFO] No USB mount detected
[2025-11-24 18:21:02] [INFO] No USB mount detected
[2025-11-24 18:21:07] [INFO] No USB mount detected
[2025-11-24 18:21:12] [INFO] No USB mount detected
[2025-11-24 18:21:17] [INFO] No USB mount detected
[2025-11-24 18:21:22] [INFO] No USB mount detected
[2025-11-24 18:21:27] [INFO] No USB mount detected
[2025-11-24 18:21:32] [INFO] No USB mount detected
[2025-11-24 18:21:37] [INFO] No USB mount detected
[2025-11-24 18:21:42] [INFO] No USB mount detected
[2025-11-24 18:21:47] [INFO] No USB mount detected
[2025-11-24 18:21:52] [INFO] No USB mount detected
[2025-11-24 18:21:57] [INFO] No USB mount detected
[2025-11-24 18:22:02] [INFO] No USB mount detected
[2025-11-24 18:22:07] [INFO] No USB mount detected
[2025-11-24 18:22:12] [INFO] No USB mount detected
[2025-11-24 18:22:17] [INFO] No USB mount detected
[2025-11-24 18:22:22] [INFO] No USB mount detected
[2025-11-24 18:22:27] [INFO] No USB mount detected
[2025-11-24 18:22:32] [INFO] No USB mount detected
[2025-11-24 18:22:37] [INFO] No USB mount detected
[2025-11-24 18:22:42] [INFO] No USB mount detected
[2025-11-24 18:22:47] [INFO] No USB mount detected
[2025-11-24 18:22:52] [INFO] No USB mount detected
[2025-11-24 18:22:57] [INFO] No USB mount detected
[2025-11-24 18:23:02] [INFO] No USB mount detected
[2025-11-24 18:23:07] [INFO] No USB mount detected
[2025-11-24 18:23:12] [INFO] No USB mount detected
[2025-11-24 18:23:17] [INFO] No USB mount detected
[2025-11-24 18:23:22] [INFO] No USB mount detected
[2025-11-24 18:23:27] [INFO] No USB mount detected
[2025-11-24 18:23:32] [INFO] No USB mount detected
[2025-11-24 18:23:37] [INFO] No USB mount detected
[2025-11-24 18:23:42] [INFO] No USB mount detected
[2025-11-24 18:23:47] [INFO] No USB mount detected
[2025-11-24 18:23:52] [INFO] No USB mount detected
[2025-11-24 18:23:57] [INFO] No USB mount detected
[2025-11-24 18:24:02] [INFO] No USB mount detected
[2025-11-24 18:24:07] [INFO] No USB mount detected
[2025-11-24 18:24:12] [INFO] No USB mount detected
[2025-11-24 18:24:17] [INFO] No USB mount detected
[2025-11-24 18:24:22] [INFO] No USB mount detected
[2025-11-24 18:24:27] [INFO] No USB mount detected
[2025-11-24 18:24:32] [INFO] No USB mount detected
[2025-11-24 18:24:37] [INFO] No USB mount detected
[2025-11-24 18:24:42] [INFO] No USB mount detected
[2025-11-24 18:24:47] [INFO] No USB mount detected
[2025-11-24 18:24:52] [INFO] No USB mount detected
[2025-11-24 18:24:57] [INFO] No USB mount detected
[2025-11-24 18:25:02] [INFO] No USB mount detected
[2025-11-24 18:25:07] [INFO] No USB mount detected
[2025-11-24 18:25:12] [INFO] No USB mount detected
[2025-11-24 18:25:17] [INFO] No USB mount detected
[2025-11-24 18:25:22] [INFO] No USB mount detected
[2025-11-24 18:25:27] [INFO] No USB mount detected
[2025-11-24 18:25:32] [INFO] No USB mount detected
[2025-11-24 18:25:37] [INFO] No USB mount detected
[2025-11-24 18:25:42] [INFO] No USB mount detected
[2025-11-24 18:25:47] [INFO] No USB mount detected
[2025-11-24 18:25:52] [INFO] No USB mount detected
[2025-11-24 18:25:57] [INFO] No USB mount detected
[2025-11-24 18:26:02] [INFO] No USB mount detected
[2025-11-24 18:26:07] [INFO] No USB mount detected
[2025-11-24 18:26:12] [INFO] No USB mount detected
[2025-11-24 18:26:17] [INFO] No USB mount detected
[2025-11-24 18:26:22] [INFO] No USB mount detected
[2025-11-24 18:26:27] [INFO] No USB mount detected
[2025-11-24 18:26:32] [INFO] No USB mount detected
[2025-11-24 18:26:37] [INFO] No USB mount detected
[2025-11-24 18:26:42] [INFO] No USB mount detected
[2025-11-24 18:26:47] [INFO] No USB mount detected
[2025-11-24 18:26:52] [INFO] No USB mount detected
[2025-11-24 18:26:57] [INFO] No USB mount detected
[2025-11-24 18:27:02] [INFO] No USB mount detected
[2025-11-24 18:27:07] [INFO] No USB mount detected
[2025-11-24 18:27:12] [INFO] No USB mount detected
[2025-11-24 18:27:17] [INFO] No USB mount detected
[2025-11-24 18:27:22] [INFO] No USB mount detected
[2025-11-24 18:27:27] [INFO] No USB mount detected
[2025-11-24 18:27:32] [INFO] No USB mount detected
[2025-11-24 18:27:37] [INFO] No USB mount detected
[2025-11-24 18:27:42] [INFO] No USB mount detected
[2025-11-24 18:27:47] [INFO] No USB mount detected
[2025-11-24 18:27:52] [INFO] No USB mount detected
[2025-11-24 18:27:57] [INFO] No USB mount detected
[2025-11-24 18:28:02] [INFO] No USB mount detected
[2025-11-24 18:28:07] [INFO] No USB mount detected
[2025-11-24 18:28:12] [INFO] No USB mount detected
[2025-11-24 18:28:17] [INFO] No USB mount detected
[2025-11-24 18:28:22] [INFO] No USB mount detected
[2025-11-24 18:28:27] [INFO] No USB mount detected
[2025-11-24 18:28:32] [INFO] No USB mount detected
[2025-11-24 18:28:37] [INFO] No USB mount detected
[2025-11-24 18:28:42] [INFO] No USB mount detected
[2025-11-24 18:28:47] [INFO] No USB mount detected
[2025-11-24 18:28:52] [INFO] No USB mount detected
[2025-11-24 18:28:57] [INFO] No USB mount detected
[2025-11-24 18:29:02] [INFO] No USB mount detected
[2025-11-24 18:29:07] [INFO] No USB mount detected
[2025-11-24 18:29:12] [INFO] No USB mount detected
[2025-11-24 18:29:17] [INFO] No USB mount detected
[2025-11-24 18:29:22] [INFO] No USB mount detected
[2025-11-24 18:29:27] [INFO] No USB mount detected
[2025-11-24 18:29:32] [INFO] No USB mount detected
[2025-11-24 18:29:37] [INFO] No USB mount detected
[2025-11-24 18:29:42] [INFO] No USB mount detected
[2025-11-24 18:29:47] [INFO] No USB mount detected
[2025-11-24 18:29:52] [INFO] No USB mount detected
[2025-11-24 18:29:57] [INFO] No USB mount detected
[2025-11-24 18:30:02] [INFO] No USB mount detected
[2025-11-24 18:30:07] [INFO] No USB mount detected
[2025-11-24 18:30:12] [INFO] No USB mount detected
[2025-11-24 18:30:17] [INFO] No USB mount detected
[2025-11-24 18:30:22] [INFO] No USB mount detected
[2025-11-24 18:30:27] [INFO] No USB mount detected
[2025-11-24 18:30:32] [INFO] No USB mount detected
[2025-11-24 18:30:37] [INFO] No USB mount detected
[2025-11-24 18:30:42] [INFO] No USB mount detected
[2025-11-24 18:30:47] [INFO] No USB mount detected
[2025-11-24 18:30:52] [INFO] No USB mount detected
